# Station Soma
# Location (Grid) 74,696
time,height,momentumX,momentumY
674.051,19.8115,1.12742,-0.259099
675.47,19.8109,1.12868,-0.259439
676.889,19.8102,1.12995,-0.25978
678.308,19.8096,1.13121,-0.260121
679.727,19.809,1.13247,-0.260462
681.146,19.8083,1.13373,-0.260802
682.565,19.8077,1.13499,-0.261142
683.985,19.807,1.13625,-0.261482
685.404,19.8064,1.13751,-0.261822
686.823,19.8058,1.13876,-0.262161
688.242,19.8051,1.14002,-0.2625
689.661,19.8045,1.14127,-0.262839
691.08,19.8038,1.14252,-0.263178
692.499,19.8032,1.14378,-0.263516
693.918,19.8025,1.14503,-0.263854
695.337,19.8019,1.14628,-0.264192
696.756,19.8012,1.14753,-0.26453
698.175,19.8006,1.14878,-0.264867
699.594,19.7999,1.15002,-0.265205
701.013,19.7993,1.15127,-0.265542
702.432,19.7986,1.15252,-0.265879
703.851,19.798,1.15376,-0.266215
705.27,19.7973,1.15501,-0.266551
706.689,19.7967,1.15625,-0.266888
708.109,19.796,1.15749,-0.267225
709.528,19.7954,1.15873,-0.267561
710.947,19.7947,1.15997,-0.267898
712.366,19.794,1.16121,-0.268234
713.785,19.7934,1.16245,-0.268571
715.204,19.7927,1.16369,-0.268907
716.623,19.7921,1.16493,-0.269244
718.042,19.7914,1.16617,-0.26958
719.461,19.7908,1.16741,-0.269916
720.88,19.7901,1.16864,-0.270252
722.299,19.7894,1.16988,-0.270589
723.718,19.7888,1.17112,-0.270925
725.137,19.7881,1.17235,-0.271261
726.556,19.7874,1.17359,-0.271596
727.975,19.7868,1.17482,-0.271932
729.394,19.7861,1.17605,-0.272268
730.813,19.7855,1.17728,-0.272603
732.232,19.7848,1.17852,-0.272939
733.651,19.7841,1.17975,-0.273275
735.071,19.7835,1.18098,-0.27361
736.49,19.7828,1.18221,-0.273945
737.909,19.7821,1.18344,-0.27428
739.328,19.7815,1.18467,-0.274616
740.747,19.7808,1.1859,-0.274951
742.166,19.7801,1.18713,-0.275287
743.585,19.7794,1.18836,-0.275622
745.004,19.7788,1.18958,-0.275957
746.423,19.7781,1.19081,-0.276292
